batting_team,bowling_team,city,runs_left,balls_left,wickets_left,target,crr,rrr,result
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,207,119,10,208,6.0,10.436974789915967,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,207,118,10,208,3.0,10.525423728813559,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,207,117,10,208,2.0,10.615384615384615,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,205,116,10,208,4.5,10.60344827586207,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,201,115,10,208,8.4,10.486956521739131,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,197,114,10,208,11.0,10.368421052631579,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,197,113,10,208,9.428571428571429,10.460176991150442,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,197,112,10,208,8.25,10.553571428571429,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,111,10,208,8.0,10.594594594594595,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,110,10,208,7.2,10.690909090909091,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,109,10,208,6.545454545454546,10.788990825688073,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,108,10,208,6.0,10.88888888888889,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,196,107,10,208,5.538461538461538,10.990654205607477,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,192,106,10,208,6.857142857142857,10.867924528301886,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,191,105,10,208,6.8,10.914285714285715,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,187,104,10,208,7.875,10.788461538461538,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,186,103,10,208,7.764705882352941,10.83495145631068,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,180,102,10,208,9.333333333333334,10.588235294117647,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,179,101,10,208,9.157894736842104,10.633663366336634,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,173,100,10,208,10.5,10.38,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,171,99,10,208,10.571428571428571,10.363636363636363,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,170,98,10,208,10.363636363636363,10.408163265306122,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,170,97,10,208,9.91304347826087,10.515463917525773,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,169,96,10,208,9.75,10.5625,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,165,95,10,208,10.32,10.421052631578947,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,165,95,10,208,10.32,10.421052631578947,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,165,94,10,208,9.923076923076923,10.53191489361702,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,165,93,10,208,9.555555555555555,10.64516129032258,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,164,92,10,208,9.428571428571429,10.695652173913043,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,164,91,10,208,9.10344827586207,10.813186813186814,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,164,90,10,208,8.8,10.933333333333334,0
